total,total_big3,yw,sx,yy,wl
183,105,47,17,41,39
277,195,54,61,80,46
376,190,73,65,52,60
235,169,50,98,21,33
352,181,25,88,68,94
196,101,13,65,23,22
315,146,71,14,61,90
254,135,85,13,37,10
279,132,21,74,37,74
389,212,37,90,85,79
285,206,94,91,21,22
245,97,47,13,37,68
328,127,35,27,65,70
319,174,62,46,66,13
318,170,13,90,67,20
369,261,72,99,90,6
165,61,6,6,49,4
387,136,38,18,80,82
312,149,52,42,55,69
455,246,76,94,76,34
259,100,30,70,0,70
239,68,34,8,26,78
429,203,94,35,74,46
159,76,50,21,5,6
266,165,26,96,43,15
316,188,93,59,36,40
226,92,61,7,24,48
334,208,61,68,79,33
366,212,74,66,72,62
386,268,99,91,78,37
234,64,13,12,39,35
286,161,95,2,64,9
294,157,37,44,76,42
298,133,92,34,7,71
314,143,8,58,77,72
254,79,11,48,20,46
337,180,57,42,81,27
357,173,45,89,39,33
249,168,68,63,37,53
362,145,57,55,33,59
276,67,8,39,20,24
387,165,46,20,99,44
231,119,6,35,78,34
234,164,69,87,8,34
271,119,98,21,0,95
434,177,44,51,82,84
155,57,6,50,1,5
301,121,44,54,23,68
301,119,44,64,11,85
159,93,5,70,18,5
346,216,61,67,88,31
240,116,14,66,36,41
203,113,16,96,1,25
187,103,27,66,10,0
315,203,52,63,88,58
270,54,5,23,26,64
244,130,28,96,6,80
194,149,48,9,92,1
346,194,56,55,83,41
418,171,65,39,67,74
273,136,24,18,94,68
351,128,30,49,49,94
366,237,82,88,67,78
315,170,85,69,16,6
247,155,24,96,35,11
327,193,75,32,86,7
223,136,53,70,13,20
341,239,88,73,78,35
344,180,89,51,40,35
251,165,71,28,66,21
200,79,3,3,73,2
230,136,4,39,93,11
265,146,78,56,12,64
389,194,84,37,73,23
303,149,84,32,33,73
239,186,18,83,85,16
360,187,78,96,13,67
290,162,72,39,51,39
242,108,52,24,32,58
287,165,44,81,40,7
258,179,37,57,85,16
249,152,25,48,79,17
251,145,7,53,85,13
191,116,54,33,29,56
320,162,70,60,32,91
432,247,98,78,71,63
248,140,51,10,79,6
263,167,72,9,86,39
179,40,6,19,15,48
256,120,66,37,17,9
239,123,49,52,22,46
376,190,65,46,79,69
372,207,99,81,27,21
257,112,16,79,17,80
312,107,9,16,82,15
209,140,48,75,17,26
193,92,51,27,14,26
349,136,66,21,49,96
269,55,8,5,42,60
313,122,34,9,79,99
173,57,21,6,30,88
307,115,32,25,58,94
258,74,31,11,32,32
386,137,71,29,37,87
361,186,92,62,32,5
251,145,11,64,70,23
415,213,63,69,81,22
245,119,35,20,64,78
185,134,33,48,53,11
268,123,49,43,31,11
414,251,69,83,99,76
228,59,18,37,4,89
291,114,18,92,4,53
360,228,85,54,89,22
393,198,32,72,94,43
156,129,96,16,17,11
388,186,69,53,64,79
313,99,28,60,11,52
264,150,44,28,78,2
274,174,69,69,36,53
249,88,32,17,39,68
270,144,51,40,53,29
417,227,50,90,87,98
344,140,7,35,98,71
327,173,54,26,93,65
412,231,97,71,63,85
270,120,25,3,92,18
305,132,9,61,62,97
218,55,30,16,9,65
253,171,94,25,52,35
281,189,83,92,14,11
359,121,23,81,17,84
278,180,78,71,31,29
476,212,79,90,43,93
286,86,3,51,32,62
398,175,16,63,96,70
352,173,72,26,75,31
319,160,30,90,40,97
271,77,14,20,43,40
320,112,55,13,44,91
335,185,56,60,69,21
323,157,64,71,22,82
327,201,85,41,75,37
298,99,11,1,87,50
309,134,24,21,89,60
330,221,98,30,93,32
316,125,1,88,36,62
278,79,67,8,4,38
307,123,55,60,8,43
270,129,98,4,27,40
321,108,13,6,89,71
312,157,81,40,36,82
423,261,89,76,96,44
377,172,61,75,36,14
231,149,91,10,48,34
276,144,67,39,38,28
186,66,11,48,7,32
351,108,42,33,33,76
284,117,18,78,21,60
314,177,70,96,11,74
320,160,54,79,27,9
431,204,60,64,80,47
374,150,17,55,78,59
264,143,60,78,5,41
231,102,67,5,30,72
366,190,15,80,95,85
223,59,7,28,24,65
207,97,59,19,19,76
259,134,33,31,70,44
277,98,0,25,73,33
157,67,18,34,15,63
346,188,71,59,58,66
246,108,39,30,39,35
216,127,90,31,6,18
243,131,55,73,3,41
303,232,46,87,99,5
300,183,72,13,98,36
264,64,19,14,31,77
334,229,48,98,83,29
195,113,19,0,94,58
393,228,95,53,80,18
185,69,9,35,25,50
291,122,32,26,64,55
276,87,27,3,57,88
279,157,60,81,16,36
242,114,27,86,1,23
400,225,80,90,55,42
308,236,91,87,58,13
253,81,13,34,34,42
335,149,61,53,35,56
251,110,2,78,30,95
238,104,70,8,26,49
254,179,62,22,95,53
407,250,83,95,72,54
250,186,79,16,91,9
316,179,76,53,50,49
242,148,6,66,76,25
245,97,36,16,45,76
441,220,68,83,69,59
359,187,90,12,85,76
326,165,38,33,94,24
359,215,81,47,87,32
213,92,28,32,32,0
380,179,77,32,70,45
315,164,34,78,52,93
437,220,56,74,90,75
255,91,43,29,19,51
276,62,11,46,5,71
179,97,2,27,68,9
347,129,27,38,64,89
293,177,72,51,54,54
240,111,80,6,25,62
331,227,67,84,76,18
290,74,15,41,18,92
300,126,18,89,19,84
366,177,39,87,51,86
305,101,4,1,96,55
289,125,12,43,70,3
372,234,81,67,86,61
299,176,71,38,67,3
220,106,41,41,24,26
326,134,86,46,2,73
342,143,64,21,58,55
286,241,95,56,90,20
331,142,10,42,90,50
244,78,3,35,40,20
230,112,42,0,70,51
234,96,53,16,27,81
240,107,32,8,67,2
315,155,92,6,57,53
220,58,6,36,16,30
175,32,1,15,16,30
276,81,23,23,35,80
271,135,94,34,7,58
280,81,11,55,15,54
316,173,22,76,75,62
227,117,58,0,59,1
419,213,91,40,82,66
353,188,89,24,75,84
207,29,3,18,8,71
363,198,20,87,91,97
330,124,29,47,48,90
194,103,2,6,95,21
262,153,61,59,33,30
351,120,50,64,6,53
390,204,96,58,50,46
234,90,32,20,38,62
366,180,23,99,58,59
151,42,19,19,4,12
331,144,8,73,63,23
318,154,90,36,28,89
415,230,95,73,62,44
367,165,49,48,68,30
220,120,47,65,8,24
321,120,70,30,20,85
372,246,87,73,86,70
269,146,46,40,60,59
402,255,66,96,93,10
288,80,31,40,9,86
231,116,30,1,85,63
335,107,15,0,92,88
270,115,10,70,35,2
305,115,41,4,70,59
303,174,77,56,41,7
321,202,26,89,87,72
236,168,96,46,26,42
318,189,99,49,41,28
322,113,1,28,84,36
282,124,99,4,21,74
302,143,54,31,58,40
352,216,60,81,75,0
307,153,89,28,36,26
343,230,62,86,82,55
359,157,65,67,25,71
279,119,42,28,49,59
196,141,4,96,41,24
300,146,93,49,4,50
300,139,24,69,46,65
338,132,1,85,46,68
168,110,70,15,25,20
272,116,4,27,85,30
334,119,91,8,20,81
264,79,27,52,0,58
246,138,74,39,25,34
485,245,92,88,65,64
412,185,19,96,70,57
280,183,61,47,75,44
411,245,93,76,76,45
339,148,28,42,78,65
337,232,96,43,93,46
335,146,4,59,83,25
170,58,10,18,30,74
481,247,69,85,93,78
372,184,81,6,97,74
312,166,11,69,86,66
362,195,82,29,84,71
