total,total_big3,yw,sx,yy,wl
148,44,11,32,1,63
148,78,30,28,20,25
148,90,12,49,29,43
148,94,50,22,22,23
148,100,39,57,4,0
148,103,34,60,9,9
148,105,42,26,37,32
148,106,46,31,29,8
148,107,34,46,27,5
148,113,6,28,79,9
149,68,41,11,16,16
149,113,60,30,23,14
150,23,15,1,7,73
150,46,2,25,19,15
150,50,24,11,15,2
150,52,10,23,19,6
150,58,4,52,2,67
150,67,11,46,10,0
150,83,60,17,6,9
150,90,6,59,25,25
150,92,39,45,8,0
150,123,68,36,19,1
151,12,6,6,0,51
151,23,16,0,7,78
151,38,23,6,9,83
151,42,19,19,4,12
151,52,15,27,10,62
151,71,40,10,21,35
151,79,5,33,41,22
151,83,12,47,24,27
151,89,7,23,59,18
152,52,11,38,3,21
152,90,45,20,25,16
152,100,6,38,56,50
152,103,1,44,58,14
152,113,37,36,40,8
152,118,12,15,91,0
152,124,50,71,3,16
152,134,37,38,59,5
153,21,11,5,5,69
153,34,15,10,9,79
153,38,6,3,29,23
153,89,53,1,35,11
153,93,36,11,46,6
154,93,1,74,18,15
154,108,26,77,5,2
154,119,85,31,3,27
154,125,65,49,11,2
154,127,38,74,15,20
155,44,22,13,9,58
155,54,40,0,14,31
155,57,6,50,1,5
155,67,24,33,10,44
155,73,10,4,59,37
155,79,29,48,2,18
155,88,6,50,32,13
155,105,34,33,38,21
155,110,64,22,24,4
155,114,12,39,63,15
155,119,17,97,5,11
156,34,8,20,6,55
156,43,28,10,5,3
156,54,5,12,37,5
156,56,28,13,15,24
156,64,41,21,2,37
156,76,29,15,32,30
156,122,54,8,60,6
156,129,96,16,17,11
157,60,9,43,8,18
157,63,25,5,33,31
157,67,18,34,15,63
157,89,52,6,31,14
157,105,64,12,29,13
157,105,95,9,1,25
157,106,24,50,32,20
157,107,5,50,52,1
158,26,3,20,3,29
158,32,8,17,7,42
158,45,12,0,33,81
158,48,28,8,12,41
158,83,20,42,21,13
158,112,68,36,8,12
159,61,7,35,19,25
159,69,15,49,5,8
159,72,20,23,29,52
159,76,25,28,23,45
159,76,50,21,5,6
159,77,23,45,9,57
159,81,39,8,34,45
159,88,4,65,19,8
159,93,5,70,18,5
159,97,62,12,23,17
159,102,34,53,15,0
159,104,0,57,47,26
159,110,0,56,54,15
159,110,26,81,3,23
160,6,1,1,4,52
160,44,0,34,10,4
160,55,24,23,8,41
160,58,17,35,6,90
160,70,27,13,30,20
160,104,9,11,84,0
161,52,10,16,26,38
161,69,33,7,29,2
161,72,5,25,42,62
161,76,14,21,41,16
161,86,36,9,41,54
161,91,59,13,19,58
162,45,3,19,23,43
162,47,2,8,37,89
162,49,15,25,9,8
162,52,37,11,4,33
162,73,29,39,5,4
162,75,63,3,9,14
162,76,37,28,11,1
162,94,27,5,62,6
162,108,29,25,54,2
162,125,23,70,32,27
162,131,19,31,81,13
163,41,9,31,1,23
163,55,9,6,40,7
163,55,21,26,8,56
163,66,1,1,64,33
163,71,2,30,39,49
163,78,43,35,0,0
163,83,20,20,43,71
163,90,38,15,37,32
163,93,25,65,3,0
163,99,36,12,51,14
163,114,18,10,86,15
163,126,86,27,13,15
163,161,60,21,80,2
164,57,21,36,0,36
164,59,18,27,14,63
164,60,16,44,0,18
164,80,13,6,61,13
164,90,57,33,0,18
164,96,11,85,0,26
164,103,45,53,5,15
164,107,28,33,46,11
164,113,0,91,22,10
164,113,59,50,4,0
165,36,14,1,21,67
165,37,7,3,27,36
165,39,0,36,3,42
165,61,6,6,49,4
165,62,18,32,12,43
165,66,3,6,57,40
165,67,12,23,32,2
165,69,53,10,6,45
165,71,37,3,31,32
165,74,5,28,41,16
165,82,0,1,81,15
165,104,79,0,25,27
165,118,28,21,69,7
165,119,20,0,99,30
165,119,80,35,4,30
165,131,79,50,2,15
165,133,33,57,43,1
166,73,42,26,5,6
166,81,40,24,17,2
166,83,13,13,57,28
166,99,30,41,28,41
166,108,1,62,45,39
167,29,24,4,1,26
167,32,13,3,16,57
167,72,34,38,0,51
167,76,12,40,24,81
167,82,58,20,4,5
167,102,31,31,40,19
167,112,22,13,77,44
167,125,51,74,0,19
168,16,1,12,3,83
168,57,10,24,23,34
168,78,59,0,19,19
168,84,11,11,62,10
168,84,32,36,16,74
168,85,33,8,44,57
168,86,77,8,1,2
168,94,81,9,4,44
168,97,9,25,63,2
168,99,8,78,13,32
168,108,52,33,23,23
168,110,70,15,25,20
168,120,11,49,60,25
169,21,5,8,8,67
169,56,11,5,40,50
169,57,28,29,0,57
169,64,11,39,14,6
169,72,22,48,2,65
169,83,18,36,29,3
169,87,33,27,27,7
169,91,63,6,22,23
169,105,1,49,55,26
169,110,54,12,44,3
170,42,11,24,7,9
170,46,16,1,29,37
170,50,39,6,5,19
170,58,10,18,30,74
170,58,11,10,37,81
170,65,40,24,1,21
170,70,1,37,32,7
170,76,8,22,46,65
170,76,13,47,16,50
170,79,54,12,13,23
170,89,7,16,66,28
170,91,42,39,10,5
170,102,47,4,51,11
170,103,8,16,79,9
170,125,39,12,74,0
171,41,2,7,32,54
171,59,38,18,3,27
171,61,3,27,31,41
171,62,9,53,0,33
171,72,66,5,1,24
171,89,69,11,9,36
171,100,38,32,30,3
171,108,4,25,79,33
171,120,34,33,53,33
172,50,14,0,36,19
172,70,59,1,10,71
172,71,47,18,6,44
172,93,20,43,30,36
172,94,48,3,43,71
172,101,80,11,10,68
172,109,63,1,45,25
172,120,28,81,11,14
172,120,43,22,55,11
172,148,59,5,84,18
172,149,70,12,67,6
173,30,8,10,12,10
173,57,21,6,30,88
173,68,8,24,36,12
173,71,10,60,1,49
173,76,49,24,3,5
173,84,17,27,40,29
173,96,37,53,6,13
173,108,12,74,22,12
173,116,20,16,80,26
173,124,3,39,82,3
174,32,12,18,2,50
174,62,52,6,4,94
174,66,6,10,50,34
174,80,15,30,35,5
174,81,7,5,69,12
174,82,0,77,5,39
174,84,16,41,27,20
174,85,53,2,30,35
174,115,25,49,41,33
174,121,21,87,13,3
174,124,18,15,91,5
175,32,1,15,16,30
175,41,5,17,19,17
175,44,9,1,34,18
175,54,34,4,16,2
175,80,13,2,65,41
175,87,12,8,67,24
175,87,13,42,32,17
175,89,6,38,45,18
175,91,24,15,52,15
175,99,18,50,31,3
175,102,36,28,38,16
175,126,7,59,60,11
175,151,52,15,84,1
176,23,7,8,8,35
176,28,8,19,1,32
176,48,38,9,1,30
176,50,0,16,34,65
176,51,22,13,16,20
176,58,54,0,4,4
176,64,31,29,4,44
176,69,3,50,16,17
176,70,5,12,53,19
176,70,49,2,19,13
176,73,44,17,12,75
176,78,29,18,31,27
176,81,20,46,15,26
176,81,46,22,13,43
176,88,14,59,15,45
176,99,12,35,52,58
176,101,81,5,15,12
176,129,67,27,35,26
176,130,17,42,71,11
177,51,6,39,6,6
177,54,28,7,19,24
177,61,9,27,25,16
177,62,7,4,51,56
177,62,34,1,27,17
177,72,5,56,11,25
177,93,13,60,20,27
177,95,51,32,12,41
177,98,51,19,28,65
177,105,28,54,23,23
177,113,39,72,2,7
177,115,61,5,49,18
177,116,36,17,63,0
177,133,2,54,77,26
178,27,11,0,16,71
178,46,20,1,25,4
178,55,29,9,17,56
178,86,5,1,80,56
178,87,38,37,12,58
178,100,32,36,32,28
178,108,81,6,21,27
178,125,41,59,25,10
178,139,39,31,69,5
179,31,7,18,6,66
179,40,6,19,15,48
179,43,13,14,16,17
179,58,9,22,27,4
179,68,9,36,23,24
179,75,25,49,1,27
179,80,12,48,20,48
179,88,6,50,32,20
179,97,2,27,68,9
179,111,70,41,0,0
179,112,16,59,37,13
179,115,6,73,36,22
179,129,35,74,20,7
179,131,14,29,88,0
179,135,44,58,33,12
180,41,30,8,3,97
180,47,17,1,29,75
180,52,0,3,49,66
180,63,2,20,41,15
180,69,46,1,22,0
180,71,34,33,4,3
180,73,33,2,38,60
180,77,15,21,41,32
180,91,37,1,53,12
180,98,14,9,75,16
180,99,15,21,63,18
180,100,73,9,18,27
180,109,59,27,23,22
180,116,4,84,28,28
180,129,77,36,16,23
180,137,66,5,66,24
181,32,3,1,28,45
181,42,10,15,17,39
181,46,25,4,17,54
181,51,29,7,15,64
181,52,3,41,8,8
181,53,6,15,32,42
181,70,11,49,10,16
181,74,5,24,45,44
181,78,12,66,0,21
181,79,3,31,45,81
181,83,0,41,42,57
181,88,26,4,58,58
181,90,23,20,47,8
181,92,23,39,30,34
181,94,22,30,42,24
181,100,12,73,15,12
181,101,86,5,10,29
181,102,15,57,30,4
181,108,60,15,33,6
181,109,33,6,70,12
181,118,8,26,84,4
181,123,38,82,3,10
181,124,18,71,35,6
181,125,80,13,32,11
181,130,54,12,64,37
182,6,4,0,2,93
182,52,8,38,6,41
182,61,11,13,37,48
182,71,37,12,22,45
182,81,52,11,18,3
182,88,10,12,66,28
182,106,3,36,67,33
182,106,36,47,23,53
182,110,15,41,54,9
182,111,37,30,44,13
182,113,20,10,83,29
182,117,9,9,99,40
182,120,10,41,69,40
182,120,26,10,84,5
182,126,83,22,21,2
183,35,5,23,7,52
183,46,16,24,6,52
183,50,11,21,18,65
183,58,2,41,15,7
183,73,3,34,36,22
183,79,16,24,39,15
183,96,40,44,12,29
183,98,18,64,16,25
183,104,35,51,18,37
183,105,47,17,41,39
183,130,42,8,80,24
183,132,73,40,19,8
183,137,81,34,22,6
183,145,44,53,48,5
184,44,43,0,1,99
184,47,44,0,3,23
184,53,36,15,2,19
184,57,35,18,4,43
184,58,9,22,27,22
184,59,3,15,41,79
184,73,9,5,59,16
184,73,22,8,43,23
184,79,33,31,15,72
184,87,10,43,34,3
184,89,34,13,42,56
184,91,56,11,24,24
184,92,66,13,13,68
184,97,38,5,54,28
184,106,10,17,79,8
184,112,43,25,44,22
184,117,84,30,3,25
184,123,56,20,47,22
184,124,52,42,30,41
184,125,53,45,27,10
184,126,32,36,58,8
184,128,47,47,34,1
184,131,53,38,40,29
185,55,16,25,14,61
185,59,14,45,0,30
185,64,4,30,30,46
185,69,9,35,25,50
185,70,23,8,39,23
185,77,53,7,17,4
185,79,17,62,0,15
185,79,36,41,2,20
185,81,37,11,33,8
185,90,7,1,82,2
185,91,8,27,56,72
185,92,18,41,33,68
185,105,10,1,94,70
185,110,14,39,57,28
185,110,47,27,36,51
185,112,43,2,67,34
185,125,44,65,16,14
185,134,33,48,53,11
185,134,59,66,9,7
186,9,4,2,3,90
186,55,3,17,35,35
186,61,26,24,11,79
186,66,11,48,7,32
186,68,8,53,7,89
186,70,16,41,13,48
186,76,59,4,13,31
186,79,38,16,25,14
186,82,50,18,14,34
186,86,39,15,32,74
186,101,1,56,44,35
186,107,17,29,61,46
186,108,22,81,5,0
186,112,91,11,10,25
186,113,13,37,63,3
186,113,49,24,40,3
186,117,70,0,47,12
186,150,30,89,31,33
187,57,33,22,2,36
187,60,5,1,54,77
187,60,35,25,0,56
187,70,21,38,11,13
187,91,47,41,3,21
187,95,43,27,25,44
187,97,34,20,43,45
187,98,29,48,21,31
187,99,29,3,67,45
187,101,20,50,31,27
187,101,32,16,53,29
187,102,56,45,1,19
187,103,27,66,10,0
187,105,42,30,33,16
187,112,71,18,23,9
187,115,30,55,30,15
187,120,20,40,60,37
187,124,35,19,70,32
187,142,45,25,72,12
188,21,9,9,3,89
188,29,12,9,8,65
188,37,18,2,17,90
188,50,8,34,8,21
188,57,19,28,10,46
188,58,14,25,19,38
188,63,4,56,3,46
188,66,40,12,14,19
188,68,30,33,5,18
188,73,41,5,27,4
188,76,0,16,60,88
188,79,29,3,47,56
188,94,1,71,22,82
188,96,72,15,9,24
188,100,67,23,10,43
188,119,56,35,28,4
188,122,77,23,22,53
188,124,81,1,42,8
188,127,21,25,81,56
188,129,13,63,53,33
188,136,3,44,89,1
188,136,90,29,17,1
189,14,8,0,6,80
189,41,0,21,20,13
189,45,16,14,15,38
189,53,17,26,10,26
189,66,6,18,42,29
189,67,8,9,50,40
189,73,47,15,11,69
189,77,20,53,4,13
189,88,24,30,34,34
189,91,66,16,9,46
189,97,75,4,18,0
189,103,3,29,71,18
189,111,75,19,17,39
189,114,6,79,29,22
189,144,0,85,59,0
189,145,34,65,46,8
189,148,29,98,21,20
189,150,84,66,0,21
190,28,12,3,13,21
190,45,16,20,9,79
190,64,3,53,8,98
190,77,21,41,15,9
190,93,42,5,46,8
190,95,24,58,13,26
190,97,11,16,70,2
190,104,53,6,45,29
190,110,41,13,56,39
190,111,69,21,21,16
190,115,24,0,91,26
190,118,53,22,43,28
190,123,65,19,39,21
190,124,52,66,6,7
190,135,4,68,63,0
190,137,18,57,62,19
190,138,85,48,5,45
190,149,32,55,62,32
191,48,18,19,11,41
191,56,17,14,25,80
191,58,24,14,20,39
191,67,1,61,5,97
191,67,51,3,13,43
191,69,8,47,14,55
191,71,12,28,31,75
191,72,2,27,43,82
191,73,2,40,31,19
191,84,42,24,18,12
191,92,52,3,37,24
191,96,79,15,2,76
191,97,18,47,32,38
191,100,69,30,1,35
191,104,19,75,10,23
191,106,73,16,17,34
191,108,9,11,88,46
191,116,54,33,29,56
191,123,22,84,17,12
191,125,63,6,56,65
191,138,39,18,81,9
191,145,43,17,85,36
192,22,8,9,5,12
192,48,18,16,14,56
192,51,19,28,4,29
192,57,12,22,23,18
192,72,0,35,37,34
192,80,19,61,0,8
192,87,33,53,1,55
192,89,44,32,13,40
192,89,45,2,42,15
192,92,1,67,24,85
192,95,62,25,8,43
192,100,55,5,40,9
192,103,18,18,67,35
192,103,60,16,27,45
192,104,12,63,29,41
192,106,26,78,2,31
192,108,3,11,94,25
192,114,44,69,1,8
192,117,13,82,22,63
192,126,24,46,56,46
192,136,27,28,81,29
192,148,31,20,97,0
193,36,22,6,8,24
193,41,9,13,19,59
193,45,1,0,44,10
193,58,4,54,0,38
193,63,38,14,11,3
193,64,13,42,9,66
193,71,33,17,21,21
193,72,9,21,42,76
193,73,0,72,1,3
193,82,17,36,29,24
193,92,28,10,54,35
193,92,51,27,14,26
193,99,17,11,71,20
193,103,21,24,58,8
193,113,1,39,73,65
193,113,42,49,22,21
193,122,3,25,94,14
193,123,52,26,45,61
193,125,29,46,50,17
193,162,51,44,67,11
194,12,4,7,1,82
194,35,26,1,8,59
194,40,5,17,18,84
194,55,4,35,16,46
194,56,0,14,42,85
194,77,4,41,32,78
194,77,36,34,7,8
194,86,42,4,40,63
194,94,20,19,55,39
194,102,43,24,35,26
194,103,2,6,95,21
194,115,8,61,46,23
194,118,51,15,52,5
194,120,34,31,55,37
194,120,72,34,14,14
194,130,36,75,19,27
194,138,76,7,55,9
194,142,93,49,0,34
194,143,17,69,57,18
194,149,48,9,92,1
194,159,63,4,92,19
195,28,3,4,21,19
195,34,18,13,3,85
195,41,29,9,3,40
195,45,7,35,3,29
195,64,16,18,30,42
195,67,1,39,27,25
195,70,24,46,0,25
195,76,3,36,37,54
195,92,45,24,23,67
195,98,1,14,83,4
195,102,28,64,10,4
195,106,96,2,8,47
195,113,19,0,94,58
195,120,89,21,10,48
195,122,34,15,73,17
195,123,80,34,9,4
195,138,26,30,82,1
195,141,0,65,76,4
195,144,2,61,81,12
196,30,25,5,0,64
196,54,24,11,19,9
196,56,46,4,6,18
196,59,24,27,8,2
196,69,15,12,42,40
196,70,10,5,55,38
196,74,5,8,61,24
196,75,11,34,30,15
196,84,9,55,20,17
196,88,4,23,61,1
196,88,11,19,58,74
196,90,8,38,44,1
196,93,14,58,21,81
196,100,2,32,66,17
196,101,13,65,23,22
196,107,8,74,25,27
196,108,52,17,39,11
196,112,82,27,3,9
196,115,10,89,16,1
196,115,25,9,81,15
196,122,30,58,34,18
196,130,9,52,69,56
196,133,65,8,60,11
196,141,4,96,41,24
196,142,47,60,35,26
196,184,36,52,96,2
197,50,7,33,10,48
197,68,20,2,46,18
197,68,27,14,27,58
197,69,37,3,29,54
197,79,24,38,17,46
197,79,56,13,10,74
197,92,10,7,75,0
197,93,64,23,6,38
197,98,59,18,21,5
197,103,20,80,3,29
197,106,64,36,6,46
197,107,0,10,97,34
197,109,14,54,41,18
197,112,46,25,41,21
197,121,11,32,78,1
197,121,36,44,41,20
197,126,46,74,6,28
197,130,82,21,27,59
197,131,4,89,38,33
197,136,56,59,21,36
197,137,81,22,34,3
197,143,21,53,69,5
197,152,18,75,59,26
197,159,12,49,98,15
198,8,1,3,4,78
198,42,3,12,27,57
198,45,0,24,21,63
198,48,1,19,28,17
198,59,15,18,26,25
198,70,30,38,2,11
198,70,35,32,3,51
198,75,54,15,6,5
198,77,23,9,45,10
198,82,12,31,39,86
198,85,50,10,25,11
198,87,60,14,13,36
198,88,4,82,2,47
198,107,43,2,62,5
198,114,42,17,55,17
198,130,68,17,45,39
199,17,2,15,0,78
199,43,20,4,19,65
199,44,11,10,23,56
199,46,27,19,0,87
199,55,8,30,17,68
199,66,4,42,20,75
199,69,6,46,17,6
199,71,21,19,31,37
199,87,11,37,39,86
199,90,60,0,30,56
199,92,53,19,20,81
199,98,39,49,10,61
199,104,79,25,0,12
199,111,15,49,47,5
199,112,60,15,37,39
199,118,87,7,24,11
199,121,46,54,21,27
199,122,13,69,40,24
199,123,2,30,91,57
199,128,54,0,74,8
199,130,19,88,23,9
199,153,23,39,91,34
200,36,11,17,8,58
200,49,34,15,0,27
200,50,23,1,26,44
200,61,27,7,27,11
200,62,7,29,26,68
200,70,48,0,22,11
200,74,58,11,5,57
200,79,3,3,73,2
200,84,57,25,2,72
200,87,59,21,7,32
200,90,35,35,20,50
200,100,42,14,44,23
200,105,31,31,43,18
200,106,85,18,3,10
200,108,4,58,46,5
200,113,52,32,29,45
200,115,19,28,68,16
200,131,56,47,28,44
200,140,94,39,7,32
200,170,64,31,75,0
201,28,7,20,1,47
201,51,3,21,27,60
201,56,1,42,13,33
201,60,10,8,42,80
201,64,17,18,29,60
201,73,11,19,43,86
201,84,54,24,6,14
201,85,1,41,43,35
201,88,30,36,22,39
201,92,4,75,13,4
201,93,9,16,68,26
201,96,28,64,4,36
201,108,71,23,14,3
201,111,35,4,72,77
201,115,2,83,30,73
201,115,30,65,20,2
201,117,38,13,66,27
201,123,15,62,46,7
201,126,85,21,20,10
201,136,33,57,46,29
201,146,50,74,22,9
201,155,88,46,21,12
201,158,70,16,72,17
201,164,68,15,81,1
202,27,21,0,6,38
202,37,28,8,1,22
202,38,4,18,16,90
202,45,19,17,9,83
202,56,23,33,0,75
202,66,26,21,19,3
202,67,48,8,11,44
202,72,29,11,32,58
202,79,37,18,24,72
202,84,25,58,1,1
202,84,63,17,4,21
202,90,27,32,31,15
202,98,7,22,69,0
202,98,26,54,18,44
202,106,7,8,91,40
202,107,19,69,19,7
202,112,33,20,59,9
202,112,96,0,16,19
202,120,0,47,73,43
202,120,43,35,42,36
202,122,50,25,47,15
202,127,50,23,54,27
202,133,36,91,6,36
202,145,12,97,36,26
202,170,63,79,28,26
203,47,18,9,20,84
203,55,28,11,16,21
203,56,10,23,23,65
203,59,12,19,28,65
203,66,16,28,22,59
203,68,7,38,23,70
203,75,66,0,9,7
203,77,17,52,8,90
203,84,19,4,61,28
203,98,6,33,59,21
203,100,39,35,26,10
203,101,3,5,93,50
203,106,41,26,39,71
203,108,0,35,73,28
203,111,54,41,16,19
203,113,16,96,1,25
203,119,81,14,24,64
203,120,91,4,25,48
203,140,45,23,72,53
203,141,88,15,38,33
204,28,9,13,6,82
204,34,20,2,12,76
204,78,1,51,26,68
204,81,75,0,6,74
204,84,39,43,2,11
204,88,73,14,1,70
204,89,68,10,11,17
204,90,6,64,20,1
204,91,42,47,2,42
204,91,58,19,14,61
204,93,24,43,26,14
204,99,69,30,0,9
204,103,5,96,2,57
204,103,53,18,32,15
204,104,46,33,25,3
204,104,71,25,8,5
204,109,38,69,2,71
204,109,66,12,31,53
204,110,18,19,73,65
204,114,87,2,25,36
204,115,12,90,13,55
204,127,85,25,17,55
204,128,59,65,4,46
204,131,69,11,51,46
204,143,20,46,77,43
204,148,54,87,7,3
204,150,33,96,21,22
204,151,70,46,35,13
205,28,7,10,11,58
205,40,12,3,25,82
205,58,24,26,8,23
205,69,27,12,30,77
205,80,69,4,7,73
205,88,22,9,57,17
205,90,66,2,22,37
205,93,54,7,32,7
205,94,34,9,51,7
205,95,10,51,34,31
205,98,13,11,74,5
205,99,26,2,71,70
205,101,33,40,28,27
205,106,20,17,69,0
205,108,12,37,59,6
205,110,29,33,48,14
205,119,34,22,63,69
205,120,49,42,29,17
205,122,13,64,45,1
205,144,47,96,1,32
205,150,83,8,59,14
205,154,35,98,21,19
205,176,76,71,29,25
205,177,24,62,91,16
206,44,37,6,1,97
206,61,1,56,4,13
206,68,41,5,22,56
206,69,28,29,12,36
206,75,23,18,34,71
206,75,34,3,38,21
206,77,19,20,38,91
206,80,43,31,6,51
206,83,14,57,12,59
206,83,33,37,13,24
206,85,42,24,19,68
206,97,27,13,57,47
206,98,41,55,2,52
206,100,33,37,30,3
206,102,40,12,50,32
206,106,7,42,57,73
206,106,19,80,7,13
206,107,73,6,28,38
206,111,21,53,37,21
206,112,27,70,15,10
206,112,48,36,28,3
206,119,36,34,49,2
206,124,62,22,40,14
206,137,72,35,30,37
206,140,3,75,62,35
206,141,61,15,65,50
206,143,77,47,19,8
206,146,28,74,44,38
207,29,3,18,8,71
207,40,21,7,12,98
207,57,0,11,46,56
207,58,31,6,21,43
207,60,26,22,12,44
207,62,9,17,36,45
207,74,13,56,5,6
207,74,58,1,15,60
207,79,40,34,5,73
207,85,4,4,77,15
207,89,13,50,26,1
207,89,33,36,20,83
207,97,59,19,19,76
207,102,49,49,4,36
207,106,22,19,65,1
207,110,20,30,60,40
207,113,10,68,35,74
207,113,35,48,30,6
207,114,37,9,68,48
207,115,1,35,79,35
207,118,52,52,14,31
207,123,44,17,62,50
207,136,53,72,11,8
207,137,88,32,17,35
207,159,83,23,53,9
207,166,63,7,96,22
208,48,11,32,5,56
208,58,6,17,35,22
208,65,21,44,0,37
208,70,6,25,39,36
208,73,10,36,27,40
208,74,18,12,44,27
208,74,20,30,24,39
208,83,3,53,27,11
208,85,39,46,0,45
208,87,48,23,16,24
208,89,6,19,64,30
208,93,25,33,35,71
208,101,12,65,24,56
208,104,52,40,12,5
208,104,65,2,37,6
208,106,47,4,55,13
208,115,4,68,43,2
208,118,49,55,14,12
208,119,24,31,64,23
208,131,15,27,89,39
208,133,8,35,90,10
208,145,33,68,44,21
208,152,55,16,81,11
208,154,40,60,54,36
208,182,79,97,6,7
209,17,9,1,7,54
209,27,1,13,13,69
209,45,37,0,8,51
209,51,12,37,2,69
209,54,21,12,21,37
209,82,23,3,56,5
209,83,4,20,59,38
209,86,2,81,3,32
209,88,31,14,43,73
209,92,36,29,27,3
209,97,86,4,7,58
209,98,9,84,5,19
209,98,11,49,38,71
209,102,26,16,60,75
209,102,68,34,0,26
209,105,62,13,30,36
209,106,1,28,77,39
209,107,53,46,8,37
209,109,66,5,38,28
209,111,74,33,4,6
209,113,75,21,17,4
209,115,89,20,6,25
209,121,26,46,49,16
209,131,38,55,38,15
209,137,31,53,53,1
209,139,70,15,54,20
209,139,71,15,53,16
209,140,48,75,17,26
209,146,54,77,15,12
209,171,55,63,53,12
210,24,7,1,16,60
210,36,17,10,9,58
210,81,31,8,42,7
210,82,45,14,23,97
210,84,48,6,30,26
210,94,5,76,13,70
210,95,46,16,33,37
210,100,2,85,13,72
210,112,40,47,25,33
210,113,47,47,19,21
210,116,22,33,61,55
210,118,26,84,8,37
210,118,52,43,23,48
210,120,45,74,1,25
210,120,85,30,5,25
210,123,82,5,36,39
210,137,28,83,26,4
210,137,35,77,25,12
210,138,93,14,31,10
210,139,80,14,45,20
210,139,86,7,46,19
210,159,38,75,46,10
210,168,49,88,31,19
210,169,70,13,86,18
211,31,2,1,28,55
211,50,3,41,6,32
211,61,3,23,35,93
211,68,7,0,61,61
211,70,26,6,38,59
211,70,28,11,31,69
211,73,72,1,0,34
211,78,7,55,16,13
211,82,24,33,25,48
211,93,87,5,1,8
211,95,6,61,28,4
211,97,14,25,58,87
211,98,40,52,6,19
211,100,69,21,10,31
211,105,9,29,67,69
211,107,9,88,10,91
211,107,39,38,30,17
211,111,44,45,22,50
211,115,38,44,33,18
211,121,75,22,24,32
211,126,45,46,35,19
211,130,4,96,30,39
211,133,32,73,28,12
211,134,17,59,58,37
211,141,91,15,35,14
211,151,5,76,70,22
211,151,25,76,50,2
211,159,56,46,57,11
211,166,25,54,87,29
212,75,32,3,40,32
